achteruitgang;decline, deterioration
arend;eagle
afschaffing;abolition,elimination
afkomen;get rid of, come off
aalscholver;cormorant
afgezant;emissary,representative
asmogendheden;axis powers
aso;asociaal persoon
angstaanjagend;terrifying, scary, frightful
almaar;increasingly, doorgaand
afkondigen;proclaim,declare
afwenden;avert, turn off
afwennen;weaning,stop drinking
aantreden;take office
afkeer;aversion, resentment
aanwijzen;designate, point out, appoint
akelig;awfully, eerily
allochtoon;immigrant, foreigner
afremmen;slow down, brake
abrupt;plotseling
angel;stinger, steekorgaan van bij/wasp
aanhanger;devotee,believer,follower
aandacht;attention, focus

buit;prize, loot, plunder
bolwerk;stronghold, fortress, citadel
bacil;germ, bacterium
belegeren;besiege
bemanning;crew
bloedsomloop;blood circulation
bestorming;storming,assault
bliksemafleider;lightning rod
broekspijp;pant leg
belevenis;experience, adventure
bedwingen;tegenhouden, control
besteden; allocate, spend, uitgeven
beschuldigen;accuse,blame
berokkenen;harm, aandoen, inflict
bedienen;operate, serve
beleid;policy
beer;mannelijke varken
big;piglet
bewaker;guard, warden
blozen;blush
band voelen;feel a connection
bladere;leaf through, turn pages
beschut;shltered, protected
bedrieger;fraud, imposter
beletten;prevent, verhinderen, stop
te binnen schieten;come to mind, herinneren

contrareformatie;counter reformation

dopen;baptise
duikboot;submarine
duigen;tatters,shambles
in duigen vallen; fall apart
dreun;thump, whack
dwars doorheen;through and through, right across
dat je dat niet weet;uitdrukking: what a shame
dronken bui; drunken stupor
dooien;doden, dead people,thawing
deszelfs;van de zelf, ervan
der;van de

effen;plain, smooth, single coloured
ervaren;experienced,skilled
eenheid;unit,squad, entity
ertegenin;against,contra
eendracht;harmony, unity

fel;bright, strong, fierce
fronsen;frown, furrow

geselen;whip, flog
grondlsag;basis, foundation
grofweg;ongeveer,ruwweg
garnizoen;garrison
gemenebest;commonwealthgraaf,earl, count, edelman
groeven;gaat maken in het arde
gedijen;propser,thrive
gerucht;rumour
gijzelen;hostage,kidnap
gewricht;joint,waar twee boten met elkaar komt
golfplaten;corrugated sheet
gelieerde;related,affiliated
in de gaten houden;opmerken, monitor, watch
gedonder;thunder, trouble
giechelen;giggle
geruststellen;reassure,comfort
gordel;seat belt
gokken;gamble, roll the dice
gleuf;slot,slit, een lange smalle opening
griezelig;spooky, scary, eng
gebeden;van bidden (prayed)
glippen;slip, sneak
gluren;kijken, peep, pry
geronommeerd;renowned, reputable
gedrocht;monstrosity,iets/iemand dat heel lelijk is
gegrom;growl, grunt

horige;serf
handel drijven;trade
herhaaldelijk;repeatedly, vaker
herstellen;repair, recover, heal
hunkeren;carve, yearn, covet
hengst;stallion
hervatten;resume, restart

innemen;take, occupy, confiscate
inpalmen;taken in, sweet talk
inheems; indigenous, native,domestic, local
ijveren;strive, promote
inluiden;herald, usher in, inagurate
immers;after all, indeed

jegens;towards, against, tegenover
jonkie;young one, youngster

krijgvoeren;oorlog voeren
kruin;crown, top of heard
kielzog;in the wake, following
kiel;keel
ketterij;heresy
kameraad;comrade
kloof;gap, groot gat, disparity
kernproef;nuclear test
kenmerk; feature, characteristic
koers;richting, direction, price
koers varen; chart course
kernramp;nuclear disaster
klauteren; climb, scramble
kuifeend;tufted duck
kerven;carve, notches
kreet;cry, gil scream
kiem;bud, germ, seed
kater;hangover, tomcat
kudde;flock, herd, gaggle of
knorren;grunt,geluid van varken
kokhalzen;gag, retch
kengetal;area code, prefix
knal;bang, explosion
knul;jongen, kid, boy

leenheer;liege lord
leenman;feudal tenant
lijfeigene;serf,bondsman
luiken;shutters, shutter
loopgraaf;trench
lezing;reading,lecture
lusteloos;lethargic, lifeless
losbarsten;break loose, erupt
lassen;weld
lukken;work, succeed
lofzang;hymn, praise, ode
labiel;unstable, erratic
loop;gunbarrel
lint, ribbon, een lange smalle stof
lakzegel;wax seal

mui;suatiegeul,tidal creek
monnik;monk
mank;limp, loop met een been die niet goed is
misoogsten;failed crops
melaatse;leper
maf;crazy, gek
mogendheid;power, might
merrie;mare
makker;vriend, dude, mate
moed; strength
moed inspreken;instill courage, encourage

neerbuigen;bow down (also deteriorate)
naarmate;as, according to
navelstreng;umbilical cord
naar;bad, unpleasant, awful

omkomen;doodgaan, die
ontluiken;sprout, bud
onderspit delven;lose, verlizen
oprukken;advance, march
omgewoeld;aarde die lose gemaakt is
ommekeer;turnaround, reversel
opstandeling;insurgent, rebel, militant
onderduiken;dive, abscond, go hiding
ontbinden;dissolve, decompose, unbind
ophitsen;incite, antagonize
onrechtvaardig;unjust, unfair
overleven;outlive, survive
opgewonden;excited
ongevoelig;insensitive, indifferent
ooi;vrouwlijkschaap (ewe)
omlijsting;bezel, frame
oker;geel bruin pigment, ochre
opvanghuis;shelter for homeless people
opletten;pay attention
opwinden;excited
overredingskracht;powers of persuasion
opperbest;supreme
onberispelijk;impeccable, flawless, foutloos

pro; voor
pro-deo;voor deus, voor niks
puissant;wealthy, krachtig
paaigrond;spawning ground
poes;vrouwelijke kat
pollepel;wooden spoon, ladle
porie;pore
peper in zijn reet;heel actief, hoog tempo
pet;hat, cap
paraat;standing by, on alert
plataan;plane tree


qua;zoals, regarding
quasi;almost, nearby
quo;(Latijn) where
quo vardis;where are you going?

rooftocht;raid
roddeblad;tabloid
rein;pure,clean
rimpel;wrinkle, furrow
rolluiken;shutters
reu;mannelijke hond
ram;mannelijke schaap
reet;ass, butt
ratelen;rattle, babbelen
rijtuig;carriage, coach
revers;coat lapel
rariteiten;weirdness,oddities, rare dingen
reuma;rheumatism

spannen;stretch
schuimden;bezoeken
